customer_id,first_loan_id,first_loan_date,second_loan_id,second_loan_date,daydate_180,inactive_flag,acquisition_channel,risk_tier_at_signup,income_band,age_band,region
1,7,2023-01-25,NULL,NULL,2023-07-24,1,referral,B,70-110k,25-34,NY
3,3381,2025-04-16,NULL,NULL,2025-10-13,1,paid_search,B,110k+,55+,NY
4,8,2023-01-06,NULL,NULL,2023-07-05,1,paid_search,A,70-110k,18-24,Other
5,378,2023-12-14,7177,2024-01-11,2024-06-11,0,partnership,A,40-70k,35-44,Other
6,510,2024-01-28,NULL,NULL,2024-07-26,1,organic,C,70-110k,45-54,NJ
8,11,2023-01-11,NULL,NULL,2023-07-10,1,paid_search,A,70-110k,45-54,Other
10,449,2023-12-31,7178,2024-05-27,2024-06-28,0,partnership,B,110k+,25-34,NJ
11,19,2023-02-16,7179,2023-06-15,2023-08-15,0,partnership,A,70-110k,18-24,Other
12,26,2023-02-23,NULL,NULL,2023-08-22,1,partnership,A,70-110k,45-54,NY
13,1313,2024-08-07,NULL,NULL,2025-02-03,1,partnership,A,40-70k,25-34,Other
14,36,2023-03-11,7180,2023-04-19,2023-09-07,0,paid_search,A,40-70k,18-24,NY
15,4,2023-01-26,NULL,NULL,2023-07-25,1,paid_search,A,40-70k,35-44,NY
16,271,2023-10-20,7181,2023-12-10,2024-04-17,0,partnership,B,40-70k,35-44,NY
18,5,2023-01-23,7182,2023-04-03,2023-07-22,0,paid_search,A,40-70k,25-34,Other
19,16,2023-01-20,7183,2023-06-09,2023-07-19,0,organic,A,40-70k,18-24,NJ
22,3,2023-01-16,NULL,NULL,2023-07-15,1,partnership,C,40-70k,25-34,Other
23,12,2023-01-12,NULL,NULL,2023-07-11,1,paid_search,B,40-70k,35-44,Other
24,13,2023-01-15,NULL,NULL,2023-07-14,1,organic,A,70-110k,25-34,NY
25,10,2023-01-15,NULL,NULL,2023-07-14,1,partnership,B,40-70k,25-34,NY
26,29,2023-02-25,NULL,NULL,2023-08-24,1,organic,A,40-70k,35-44,NY
27,1366,2024-08-02,7184,2024-12-05,2025-01-29,0,organic,A,110k+,35-44,Other
28,119,2023-06-05,NULL,NULL,2023-12-02,1,affiliate,A,70-110k,35-44,Other
31,351,2023-11-18,NULL,NULL,2024-05-16,1,paid_search,A,70-110k,45-54,NY
32,250,2023-10-01,7185,2024-03-18,2024-03-29,0,partnership,A,110k+,55+,NY
33,1641,2024-10-01,NULL,NULL,2025-03-30,1,referral,B,70-110k,45-54,Other
