customer_id,total_payment_180d,total_loss_180d,net_ltv_180d,pareto_x,cum_ltv_180d,pareto_y
2327,3251.13,0.00,3251.13,0.02,3251.13,0.121420
2965,2809.79,0.00,2809.79,0.04,6060.92,0.226357
5002,2488.52,0.00,2488.52,0.06,8549.44,0.319296
7604,2129.73,0.00,2129.73,0.08,10679.17,0.398835
319,2118.62,0.00,2118.62,0.11,12797.79,0.477959
123,2095.29,0.00,2095.29,0.13,14893.08,0.556212
5987,2053.66,0.00,2053.66,0.15,16946.74,0.632910
1393,2046.76,0.00,2046.76,0.17,18993.50,0.709351
684,2046.41,0.00,2046.41,0.19,21039.91,0.785778
6542,2039.55,0.00,2039.55,0.21,23079.46,0.861949
1189,2016.68,0.00,2016.68,0.23,25096.14,0.937266
2988,1977.47,0.00,1977.47,0.25,27073.61,1.011119
1793,1962.41,0.00,1962.41,0.27,29036.02,1.084409
7302,1956.18,0.00,1956.18,0.30,30992.20,1.157466
8693,1955.90,0.00,1955.90,0.32,32948.10,1.230513
5945,1940.41,0.00,1940.41,0.34,34888.51,1.302982
2175,1936.31,0.00,1936.31,0.36,36824.82,1.375297
5806,1912.91,0.00,1912.91,0.38,38737.73,1.446739
1244,1908.78,0.00,1908.78,0.40,40646.51,1.518026
6227,1895.82,0.00,1895.82,0.42,42542.33,1.588829
6638,1892.42,0.00,1892.42,0.44,44434.75,1.659506
143,1876.81,0.00,1876.81,0.47,46311.56,1.729599
10284,1868.88,0.00,1868.88,0.49,48180.44,1.799396
2179,1859.94,0.00,1859.94,0.51,50040.38,1.868859
137,1848.22,0.00,1848.22,0.53,51888.60,1.937885
5573,1838.90,0.00,1838.90,0.55,53727.50,2.006562
3624,1834.95,0.00,1834.95,0.57,55562.45,2.075092
530,1833.92,0.00,1833.92,0.59,57396.37,2.143584
8081,1833.66,0.00,1833.66,0.61,59230.03,2.212065
1841,1833.56,0.00,1833.56,0.63,61063.59,2.280543
56,1817.99,0.00,1817.99,0.66,62881.58,2.348440
2483,1764.57,0.00,1764.57,0.68,64646.15,2.414341
3452,1762.02,0.00,1762.02,0.70,66408.17,2.480147
5409,1754.04,0.00,1754.04,0.72,68162.21,2.545656
1408,1726.31,0.00,1726.31,0.74,69888.52,2.610128
7189,1708.87,0.00,1708.87,0.76,71597.39,2.673949
1425,1706.12,0.00,1706.12,0.78,73303.51,2.737668
7897,1702.08,0.00,1702.08,0.80,75005.59,2.801235
4699,1684.18,0.00,1684.18,0.82,76689.77,2.864135
1012,1680.09,0.00,1680.09,0.85,78369.86,2.926881
10194,1678.57,0.00,1678.57,0.87,80048.43,2.989570
5861,1665.65,0.00,1665.65,0.89,81714.08,3.051778
2415,1650.02,0.00,1650.02,0.91,83364.10,3.113401
7461,1632.69,0.00,1632.69,0.93,84996.79,3.174377
7293,1628.98,0.00,1628.98,0.95,86625.77,3.235215
6805,1628.40,0.00,1628.40,0.97,88254.17,3.296030
7187,1621.57,0.00,1621.57,0.99,89875.74,3.356591
3414,1620.00,0.00,1620.00,1.01,91495.74,3.417093
11215,1618.61,0.00,1618.61,1.04,93114.35,3.477544
5428,1614.70,0.00,1614.70,1.06,94729.05,3.537848
7512,1612.57,0.00,1612.57,1.08,96341.62,3.598073
6079,1609.04,0.00,1609.04,1.10,97950.66,3.658165
1446,1606.96,0.00,1606.96,1.12,99557.62,3.718181
4997,1602.72,0.00,1602.72,1.14,101160.34,3.778037
1334,1595.58,0.00,1595.58,1.16,102755.92,3.837628
2094,1590.40,0.00,1590.40,1.18,104346.32,3.897024
32,1589.65,0.00,1589.65,1.20,105935.97,3.956393
4088,1588.59,0.00,1588.59,1.23,107524.56,4.015722
655,1583.61,0.00,1583.61,1.25,109108.17,4.074865
1077,1582.01,0.00,1582.01,1.27,110690.18,4.133949
4060,1577.10,0.00,1577.10,1.29,112267.28,4.192849
930,1571.62,0.00,1571.62,1.31,113838.90,4.251544
777,1567.69,0.00,1567.69,1.33,115406.59,4.310092
298,1564.86,0.00,1564.86,1.35,116971.45,4.368535
2868,1563.39,0.00,1563.39,1.37,118534.84,4.426923
6732,1562.09,0.00,1562.09,1.40,120096.93,4.485263
2427,1558.49,0.00,1558.49,1.42,121655.42,4.543468
2503,1555.60,0.00,1555.60,1.44,123211.02,4.601565
1677,1552.17,0.00,1552.17,1.46,124763.19,4.659534
4346,1537.36,0.00,1537.36,1.48,126300.55,4.716949
1284,1534.75,0.00,1534.75,1.50,127835.30,4.774268
11038,1532.55,0.00,1532.55,1.52,129367.85,4.831504
1983,1527.04,0.00,1527.04,1.54,130894.89,4.888534
3938,1516.44,0.00,1516.44,1.56,132411.33,4.945169
4595,1516.27,0.00,1516.27,1.59,133927.60,5.001797
5127,1503.36,0.00,1503.36,1.61,135430.96,5.057943
3192,1501.68,0.00,1501.68,1.63,136932.64,5.114026
171,1500.97,0.00,1500.97,1.65,138433.61,5.170083
5034,1498.92,0.00,1498.92,1.67,139932.53,5.226063
4385,1488.80,0.00,1488.80,1.69,141421.33,5.281666
4518,1486.45,0.00,1486.45,1.71,142907.78,5.337180
4258,1482.44,0.00,1482.44,1.73,144390.22,5.392545
1240,1479.20,0.00,1479.20,1.75,145869.42,5.447788
4061,1476.85,0.00,1476.85,1.78,147346.27,5.502944
12410,1475.80,0.00,1475.80,1.80,148822.07,5.558061
5680,1466.18,0.00,1466.18,1.82,150288.25,5.612819
1538,1465.83,0.00,1465.83,1.84,151754.08,5.667563
10941,1464.32,0.00,1464.32,1.86,153218.40,5.722251
48,1462.97,0.00,1462.97,1.88,154681.37,5.776889
8716,1462.22,0.00,1462.22,1.90,156143.59,5.831498
1659,1460.16,0.00,1460.16,1.92,157603.75,5.886031
3955,1460.10,0.00,1460.10,1.94,159063.85,5.940561
4109,1455.17,0.00,1455.17,1.97,160519.02,5.994907
10366,1452.80,0.00,1452.80,1.99,161971.82,6.049165
1662,1451.37,0.00,1451.37,2.01,163423.19,6.103369
296,1451.19,0.00,1451.19,2.03,164874.38,6.157567
9561,1447.12,0.00,1447.12,2.05,166321.50,6.211613
1250,1441.84,0.00,1441.84,2.07,167763.34,6.265461
1038,1438.47,0.00,1438.47,2.09,169201.81,6.319184
7412,1434.59,0.00,1434.59,2.11,170636.40,6.372761
2028,1433.52,0.00,1433.52,2.13,172069.92,6.426299
1119,1432.95,0.00,1432.95,2.16,173502.87,6.479816
1224,1431.76,0.00,1431.76,2.18,174934.63,6.533288
4102,1427.61,0.00,1427.61,2.20,176362.24,6.586604
7164,1425.08,0.00,1425.08,2.22,177787.32,6.639827
3543,1424.24,0.00,1424.24,2.24,179211.56,6.693018
9410,1422.41,0.00,1422.41,2.26,180633.97,6.746141
53,1419.41,0.00,1419.41,2.28,182053.38,6.799152
3029,1418.24,0.00,1418.24,2.30,183471.62,6.852119
9096,1417.40,0.00,1417.40,2.33,184889.02,6.905054
970,1411.85,0.00,1411.85,2.35,186300.87,6.957783
5770,1409.30,0.00,1409.30,2.37,187710.17,7.010416
5099,1407.83,0.00,1407.83,2.39,189118.00,7.062994
3607,1406.84,0.00,1406.84,2.41,190524.84,7.115535
4328,1406.09,0.00,1406.09,2.43,191930.93,7.168049
11299,1400.21,0.00,1400.21,2.45,193331.14,7.220342
1322,1398.35,0.00,1398.35,2.47,194729.49,7.272567
11138,1395.41,0.00,1395.41,2.49,196124.90,7.324681
2369,1393.25,0.00,1393.25,2.52,197518.15,7.376715
3433,1390.91,0.00,1390.91,2.54,198909.06,7.428661
1632,1389.87,0.00,1389.87,2.56,200298.93,7.480569
2007,1389.76,0.00,1389.76,2.58,201688.69,7.532472
850,1389.71,0.00,1389.71,2.60,203078.40,7.584374
8259,1389.09,0.00,1389.09,2.62,204467.49,7.636252
6523,1378.78,0.00,1378.78,2.64,205846.27,7.687745
133,1376.68,0.00,1376.68,2.66,207222.95,7.739160
425,1375.55,0.00,1375.55,2.68,208598.50,7.790533
4426,1374.97,0.00,1374.97,2.71,209973.47,7.841884
272,1370.42,0.00,1370.42,2.73,211343.89,7.893065
495,1368.45,0.00,1368.45,2.75,212712.34,7.944172
9185,1365.62,0.00,1365.62,2.77,214077.96,7.995174
9715,1362.06,0.00,1362.06,2.79,215440.02,8.046043
8049,1359.60,0.00,1359.60,2.81,216799.62,8.096820
4386,1356.02,0.00,1356.02,2.83,218155.64,8.147464
4412,1354.01,0.00,1354.01,2.85,219509.65,8.198032
5917,1352.90,0.00,1352.90,2.87,220862.55,8.248559
4182,1352.59,0.00,1352.59,2.90,222215.14,8.299074
4827,1352.28,0.00,1352.28,2.92,223567.42,8.349577
11214,1348.79,0.00,1348.79,2.94,224916.21,8.399951
1633,1348.52,0.00,1348.52,2.96,226264.73,8.450314
