application_id,customer_id,application_date,decision,approved_amount,decision_score,reason_code
9,1,2023-01-22,approved,405.971151264061,676.6757786810596,
4753,3,2025-04-13,approved,606.8717859462923,711.1125960543637,
10,4,2023-01-01,approved,894.0349150230842,764.13683508576,
526,5,2023-12-07,approved,774.7340304189047,849.8014590311403,
709,6,2024-01-25,approved,355.06724865552366,653.3017994393841,
14,8,2023-01-06,approved,821.8216242789725,688.6447415750857,
628,10,2023-12-25,approved,415.2768531816655,783.4851178102691,
26,11,2023-02-09,approved,378.375802619869,705.290378930665,
38,12,2023-02-17,approved,784.5925120795564,707.0349623599454,
1866,13,2024-07-31,approved,1078.890640085077,792.0704848768067,
51,14,2023-03-10,approved,479.5216516081729,814.3088904043549,
6,15,2023-01-19,approved,1072.4012916665354,790.5511431335983,
370,16,2023-10-13,approved,510.54051882159706,654.967640324162,
7,18,2023-01-22,approved,363.8997599840364,769.4142837612019,
23,19,2023-01-17,approved,861.64006674849,772.3208200257582,
5,22,2023-01-12,approved,194.59260931002453,638.1781458833506,
16,23,2023-01-10,approved,408.9318997719074,762.237272246621,
18,24,2023-01-11,approved,523.820689241853,795.71448494221,
13,25,2023-01-14,approved,1129.760988585037,717.5127756471907,
42,26,2023-02-23,approved,461.2834497341444,814.5434287699202,
1942,27,2024-08-01,approved,936.5441308111584,816.465817837729,
158,28,2023-06-02,approved,1226.1617766204429,786.5766041266523,
492,31,2023-11-16,approved,914.17490269533,807.906002679128,
343,32,2023-09-24,approved,1647.752749472083,797.8324733825639,
2322,33,2024-09-26,approved,384.0973378324863,672.8916060345227,
825,37,2024-02-09,approved,319.0895213045193,661.7578178074673,
8,39,2023-01-16,approved,365.40888596799135,653.4530723029447,
29,40,2023-02-16,approved,255.71330025792415,721.0979689628825,
264,41,2023-09-21,approved,1097.2079156309785,818.3239053065578,
12,42,2023-01-21,approved,864.1296672490915,808.5757450629573,
4,43,2023-01-27,approved,328.59591619982666,660.063871575686,
6664,45,2025-08-13,approved,547.9689930732605,795.4570403919911,
41,46,2023-02-11,approved,630.1245214799682,808.7158319250905,
4868,47,2025-04-22,approved,497.1488110027338,658.6456382027602,
249,48,2023-08-29,approved,1178.2400317812417,815.1160996407237,
2315,50,2024-09-06,approved,567.2024169618348,746.6880259595043,
27,51,2023-01-30,approved,424.01209393197325,839.7244488916893,
1761,53,2024-07-25,approved,1144.9944128295872,775.7251993176069,
52,54,2023-03-15,approved,406.3854697327856,733.878088592608,
36,55,2023-02-20,approved,540.0233529753608,701.5839222865985,
40,56,2023-01-27,approved,1398.0489862713152,694.9099979572937,
220,57,2023-08-09,approved,402.638040036018,727.0726642956982,
366,58,2023-10-24,approved,729.532931842443,752.7485473151208,
323,60,2023-09-28,approved,158.63208303210277,636.7468694984948,
231,61,2023-08-04,approved,576.3379128866557,825.0,
153,62,2023-06-21,approved,861.5087438980242,700.0168700037793,
7781,65,2025-10-07,approved,679.2445121777556,712.5186508104096,
55,66,2023-03-19,approved,843.937208895166,801.6883436587622,
384,67,2023-10-24,approved,208.5746685477602,694.2876270427503,
25,69,2023-02-17,approved,1217.532910508996,738.7662763483166,
1759,70,2024-07-23,approved,783.8125484659108,779.6035349815505,
2428,72,2024-10-19,approved,494.3034490073583,746.5069684118255,
28,74,2023-02-07,approved,1027.1577431033577,768.4762234414485,
2920,77,2024-11-21,approved,721.1730827077762,713.4858577472182,
63,79,2023-02-28,approved,259.0205942598673,756.7013590557073,
45,80,2023-03-20,approved,487.16318072689046,825.0,
37,81,2023-02-02,approved,996.884258660578,727.796170573637,
3122,82,2024-12-14,approved,634.9627517064555,704.8857779221171,
191,84,2023-07-21,approved,723.2935604503956,745.8461047459219,
312,85,2023-10-16,approved,367.5831740795444,701.8805883178073,
199,87,2023-08-13,approved,529.4229366678193,737.1977048457777,
9696,89,2025-12-17,approved,542.0524973060386,716.7672491142835,
58,90,2023-02-25,approved,598.1129600328989,791.7086332143874,
211,91,2023-08-08,approved,541.627723733566,636.1688046001434,
927,92,2024-03-16,approved,325.88909089715867,779.3718469121927,
60,94,2023-03-07,approved,757.8613681886148,768.8664693082613,
8073,97,2025-10-07,approved,297.4221549111269,742.3129779183851,
227,100,2023-08-18,approved,350.7373822395871,803.1069258392312,
642,103,2023-12-21,approved,635.8602754342216,752.9671047734751,
3702,107,2025-01-06,approved,637.8476406355742,740.4939509554044,
