customer_id,signup_date,acquisition_channel,risk_tier_at_signup,income_band,region,age_band
1,2023-01-30,referral,B,70-110k,NY,25-34
2,2023-01-11,paid_search,D,40-70k,NY,35-44
3,2023-01-17,paid_search,B,110k+,NY,55+
4,2023-01-17,paid_search,A,70-110k,Other,18-24
5,2023-01-27,partnership,A,40-70k,Other,35-44
6,2023-01-14,organic,C,70-110k,NJ,45-54
7,2023-01-09,organic,A,<40k,Other,45-54
8,2023-01-01,paid_search,A,70-110k,Other,45-54
9,2023-01-12,referral,B,40-70k,NY,25-34
10,2023-01-26,partnership,B,110k+,NJ,25-34
11,2023-01-01,partnership,A,70-110k,Other,18-24
12,2023-01-28,partnership,A,70-110k,NY,45-54
13,2023-01-17,partnership,A,40-70k,Other,25-34
14,2023-01-05,paid_search,A,40-70k,NY,18-24
15,2023-01-10,paid_search,A,40-70k,NY,35-44
16,2023-01-18,partnership,B,40-70k,NY,35-44
17,2023-01-10,affiliate,C,70-110k,NY,25-34
18,2023-01-04,paid_search,A,40-70k,Other,25-34
19,2023-01-21,organic,A,40-70k,NJ,18-24
20,2023-01-21,partnership,C,<40k,Other,18-24
21,2023-01-04,paid_search,C,70-110k,Other,45-54
22,2023-01-09,partnership,C,40-70k,Other,25-34
23,2023-01-08,paid_search,B,40-70k,Other,35-44
24,2023-01-21,organic,A,70-110k,NY,25-34
25,2023-01-23,partnership,B,40-70k,NY,25-34
26,2023-01-23,organic,A,40-70k,NY,35-44
27,2023-01-30,organic,A,110k+,Other,35-44
28,2023-01-24,affiliate,A,70-110k,Other,35-44
29,2023-01-10,partnership,C,40-70k,Other,25-34
30,2023-01-04,paid_search,C,<40k,Other,45-54
31,2023-01-20,paid_search,A,70-110k,NY,45-54
32,2023-01-29,partnership,A,110k+,NY,55+
33,2023-01-31,referral,B,70-110k,Other,45-54
34,2023-01-08,paid_search,D,<40k,Other,18-24
35,2023-01-08,organic,B,<40k,Other,35-44
36,2023-01-02,organic,A,70-110k,Other,45-54
37,2023-01-05,paid_search,B,70-110k,Other,18-24
38,2023-01-18,organic,A,<40k,Other,25-34
39,2023-01-17,affiliate,C,40-70k,NY,55+
40,2023-01-12,organic,B,40-70k,NY,25-34
41,2023-01-10,paid_search,A,40-70k,Other,25-34
42,2023-01-26,affiliate,A,70-110k,Other,55+
43,2023-01-15,affiliate,C,40-70k,NY,55+
44,2023-01-26,paid_search,B,110k+,NY,45-54
45,2023-01-30,partnership,B,<40k,Other,35-44
46,2023-02-09,organic,A,110k+,NJ,45-54
47,2023-02-16,paid_search,B,70-110k,NY,55+
48,2023-02-01,organic,A,70-110k,Other,35-44
49,2023-02-03,partnership,D,<40k,NJ,25-34
50,2023-02-13,paid_search,B,<40k,NY,25-34
51,2023-02-21,partnership,A,70-110k,Other,35-44
52,2023-02-24,affiliate,B,40-70k,NY,35-44
53,2023-02-13,organic,A,<40k,NJ,35-44
54,2023-02-09,organic,A,70-110k,Other,35-44
55,2023-02-28,organic,B,70-110k,NY,45-54
56,2023-02-13,affiliate,B,40-70k,Other,25-34
57,2023-02-09,partnership,B,70-110k,Other,55+
58,2023-02-13,paid_search,B,40-70k,Other,25-34
59,2023-02-01,partnership,C,40-70k,NY,18-24
60,2023-02-09,organic,C,<40k,NY,25-34
61,2023-02-15,partnership,A,40-70k,Other,18-24
62,2023-02-26,partnership,C,70-110k,NY,25-34
63,2023-02-21,partnership,B,<40k,NY,55+
64,2023-02-22,affiliate,D,40-70k,NY,35-44
65,2023-02-16,partnership,B,40-70k,Other,18-24
66,2023-02-04,organic,A,70-110k,NY,25-34
67,2023-02-11,paid_search,C,110k+,Other,45-54
68,2023-02-28,organic,D,<40k,NJ,25-34
69,2023-02-02,paid_search,A,70-110k,NJ,35-44
70,2023-02-25,partnership,A,40-70k,Other,18-24
71,2023-02-20,affiliate,A,40-70k,NJ,35-44
72,2023-02-08,partnership,B,<40k,NY,45-54
73,2023-02-22,organic,B,70-110k,Other,45-54
74,2023-02-24,partnership,A,40-70k,NJ,25-34
75,2023-02-02,paid_search,C,40-70k,Other,45-54
76,2023-02-03,paid_search,B,110k+,Other,45-54
77,2023-02-19,affiliate,A,70-110k,NJ,18-24
78,2023-02-28,referral,A,110k+,Other,25-34
79,2023-02-01,affiliate,A,40-70k,NY,55+
80,2023-02-19,organic,A,40-70k,Other,18-24
81,2023-02-04,affiliate,A,70-110k,Other,55+
82,2023-02-19,organic,B,40-70k,Other,55+
83,2023-02-18,partnership,B,110k+,Other,45-54
84,2023-02-03,affiliate,A,70-110k,NJ,35-44
85,2023-02-20,organic,B,110k+,Other,25-34
86,2023-02-26,organic,B,70-110k,NY,25-34
87,2023-03-10,paid_search,B,70-110k,NY,55+
88,2023-03-02,organic,B,<40k,NY,35-44
89,2023-03-16,paid_search,A,70-110k,Other,18-24
90,2023-03-25,organic,A,110k+,Other,25-34
91,2023-03-30,paid_search,C,70-110k,NJ,35-44
