loan_id,installment_no,due_date,due_principal,due_fee_interest,due_total,scheduled_balance_after
2,1,2023-02-28,80.14,5.44,85.58,248.46
2,2,2023-03-30,81.46,4.11,85.57,167.0
2,3,2023-04-30,82.81,2.77,85.58,84.19
2,4,2023-05-30,84.19,1.39,85.58,0.0
3,1,2023-02-16,31.07,3.33,34.4,163.52
3,2,2023-03-16,31.6,2.8,34.4,131.92
3,3,2023-04-16,32.14,2.26,34.4,99.78
3,4,2023-05-16,32.69,1.71,34.4,67.09
3,5,2023-06-16,33.25,1.15,34.4,33.84
3,6,2023-07-16,33.84,0.58,34.42,0.0
4,1,2023-02-26,263.98,11.08,275.06,808.42
4,2,2023-03-26,266.71,8.35,275.06,541.71
4,3,2023-04-26,269.46,5.6,275.06,272.25
4,4,2023-05-26,272.25,2.81,275.06,0.0
5,1,2023-02-23,89.66,3.54,93.2,274.24
5,2,2023-03-23,90.53,2.67,93.2,183.71
5,3,2023-04-23,91.41,1.79,93.2,92.3
5,4,2023-05-23,92.3,0.9,93.2,0.0
6,1,2023-02-20,89.15,5.95,95.1,276.26
6,2,2023-03-20,90.6,4.5,95.1,185.66
6,3,2023-04-20,92.08,3.03,95.11,93.58
6,4,2023-05-20,93.58,1.52,95.1,0.0
7,1,2023-02-25,99.66,4.94,104.6,306.31
7,2,2023-03-25,100.87,3.73,104.6,205.44
7,3,2023-04-25,102.1,2.5,104.6,103.34
7,4,2023-05-25,103.34,1.26,104.6,0.0
8,1,2023-02-06,220.24,8.8,229.04,673.79
8,2,2023-03-06,222.4,6.63,229.03,451.39
8,3,2023-04-06,224.59,4.44,229.03,226.8
8,4,2023-05-06,226.8,2.23,229.03,0.0
9,1,2023-02-26,68.44,7.95,76.39,795.69
9,2,2023-03-26,69.07,7.32,76.39,726.62
9,3,2023-04-26,69.7,6.69,76.39,656.92
9,4,2023-05-26,70.35,6.05,76.4,586.57
9,5,2023-06-26,70.99,5.4,76.39,515.58
9,6,2023-07-26,71.65,4.74,76.39,443.93
9,7,2023-08-26,72.31,4.09,76.4,371.62
9,8,2023-09-26,72.97,3.42,76.39,298.65
9,9,2023-10-26,73.64,2.75,76.39,225.01
9,10,2023-11-26,74.32,2.07,76.39,150.69
9,11,2023-12-26,75.0,1.39,76.39,75.69
9,12,2024-01-26,75.69,0.7,76.39,0.0
10,1,2023-02-15,277.32,13.81,291.13,852.44
10,2,2023-03-15,280.7,10.42,291.12,571.74
10,3,2023-04-15,284.13,6.99,291.12,287.61
10,4,2023-05-15,287.61,3.51,291.12,0.0
11,1,2023-02-11,202.35,8.36,210.71,619.47
11,2,2023-03-11,204.4,6.3,210.7,415.07
11,3,2023-04-11,206.49,4.22,210.71,208.58
11,4,2023-05-11,208.58,2.12,210.7,0.0
12,1,2023-02-12,100.31,5.17,105.48,308.62
12,2,2023-03-12,101.58,3.9,105.48,207.04
12,3,2023-04-12,102.87,2.62,105.49,104.17
12,4,2023-05-12,104.17,1.32,105.49,0.0
13,1,2023-02-15,129.23,4.64,133.87,394.59
